id,seed,level,player_build_id,opponent_build_id,player_archetype_id,opponent_archetype_id,player_power,opponent_power,duration,winner,reason,event_count,anti_stall,barrier_absorbed,healing,summons_created,player_final_hp_percent,opponent_final_hp_percent,alerts,damage_by_source,damage_by_type,player_damage_by_source,opponent_damage_by_source,player_damage_by_type,opponent_damage_by_type,spell_casts
L1_M0001,battle_lab:draxos_mobile_battle_lab_v1:L1_M0001:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:starter_wand:L1:random:1,1,L1_starter_wand_fixed,L1_starter_wand_r1,starter_wand,starter_wand,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0002,battle_lab:draxos_mobile_battle_lab_v1:L1_M0002:battle_lab_alpha_20260521:starter_wand:L1:random:1:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_starter_wand_r1,L1_starter_wand_fixed,starter_wand,starter_wand,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0003,battle_lab:draxos_mobile_battle_lab_v1:L1_M0003:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:cosmic_apprentice:L1:fixed:0,1,L1_starter_wand_fixed,L1_cosmic_apprentice_fixed,starter_wand,cosmic_apprentice,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0004,battle_lab:draxos_mobile_battle_lab_v1:L1_M0004:battle_lab_alpha_20260521:cosmic_apprentice:L1:fixed:0:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_cosmic_apprentice_fixed,L1_starter_wand_fixed,cosmic_apprentice,starter_wand,80,80,23.7,cosmic_apprentice,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0005,battle_lab:draxos_mobile_battle_lab_v1:L1_M0005:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:cosmic_apprentice:L1:random:1,1,L1_starter_wand_fixed,L1_cosmic_apprentice_r1,starter_wand,cosmic_apprentice,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0006,battle_lab:draxos_mobile_battle_lab_v1:L1_M0006:battle_lab_alpha_20260521:cosmic_apprentice:L1:random:1:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_cosmic_apprentice_r1,L1_starter_wand_fixed,cosmic_apprentice,starter_wand,80,80,23.7,cosmic_apprentice,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0007,battle_lab:draxos_mobile_battle_lab_v1:L1_M0007:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:elemental_mixer:L1:fixed:0,1,L1_starter_wand_fixed,L1_elemental_mixer_fixed,starter_wand,elemental_mixer,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0008,battle_lab:draxos_mobile_battle_lab_v1:L1_M0008:battle_lab_alpha_20260521:elemental_mixer:L1:fixed:0:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_elemental_mixer_fixed,L1_starter_wand_fixed,elemental_mixer,starter_wand,80,80,23.7,elemental_mixer,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0009,battle_lab:draxos_mobile_battle_lab_v1:L1_M0009:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:elemental_mixer:L1:random:1,1,L1_starter_wand_fixed,L1_elemental_mixer_r1,starter_wand,elemental_mixer,80,105,20.7,elemental_mixer,combatant_defeated,45,false,0,0,0,0,8.25,,weapon:982,magico:982,weapon:465,weapon:517,magico:465,magico:517,
L1_M0010,battle_lab:draxos_mobile_battle_lab_v1:L1_M0010:battle_lab_alpha_20260521:elemental_mixer:L1:random:1:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_elemental_mixer_r1,L1_starter_wand_fixed,elemental_mixer,starter_wand,105,80,20.7,elemental_mixer,combatant_defeated,44,false,0,0,0,11.13,0,,weapon:967,magico:967,weapon:517,weapon:450,magico:517,magico:450,
L1_M0011,battle_lab:draxos_mobile_battle_lab_v1:L1_M0011:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:pet_handler:L1:fixed:0,1,L1_starter_wand_fixed,L1_pet_handler_fixed,starter_wand,pet_handler,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0012,battle_lab:draxos_mobile_battle_lab_v1:L1_M0012:battle_lab_alpha_20260521:pet_handler:L1:fixed:0:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_pet_handler_fixed,L1_starter_wand_fixed,pet_handler,starter_wand,80,80,23.7,pet_handler,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0013,battle_lab:draxos_mobile_battle_lab_v1:L1_M0013:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:pet_handler:L1:random:1,1,L1_starter_wand_fixed,L1_pet_handler_r1,starter_wand,pet_handler,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0014,battle_lab:draxos_mobile_battle_lab_v1:L1_M0014:battle_lab_alpha_20260521:pet_handler:L1:random:1:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_pet_handler_r1,L1_starter_wand_fixed,pet_handler,starter_wand,80,80,23.7,pet_handler,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0015,battle_lab:draxos_mobile_battle_lab_v1:L1_M0015:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:summoner:L1:fixed:0,1,L1_starter_wand_fixed,L1_summoner_fixed,starter_wand,summoner,80,105,20.7,summoner,combatant_defeated,45,false,0,0,0,0,8.25,,weapon:982,magico:982,weapon:465,weapon:517,magico:465,magico:517,
L1_M0016,battle_lab:draxos_mobile_battle_lab_v1:L1_M0016:battle_lab_alpha_20260521:summoner:L1:fixed:0:battle_lab_alpha_20260521:starter_wand:L1:fixed:0,1,L1_summoner_fixed,L1_starter_wand_fixed,summoner,starter_wand,105,80,20.7,summoner,combatant_defeated,44,false,0,0,0,11.13,0,,weapon:967,magico:967,weapon:517,weapon:450,magico:517,magico:450,
L1_M0017,battle_lab:draxos_mobile_battle_lab_v1:L1_M0017:battle_lab_alpha_20260521:starter_wand:L1:fixed:0:battle_lab_alpha_20260521:summoner:L1:random:1,1,L1_starter_wand_fixed,L1_summoner_r1,starter_wand,summoner,80,130,19.7,summoner,combatant_defeated,43,false,0,0,0,0,11.13,,weapon:990,magico:990,weapon:450,weapon:540,magico:450,magico:540,
